ymd,hm,ta,weekday,weekend,max_power,spring,summer,autoum,winter,CDD,HDD,multiple_season
2022-05-25,47.54241622574956,25.481552028218697,1,0,72543.0,1,0,0,0,2.7287189353856043,0.0,-4183.901554508706
2022-05-26,39.38597883597883,21.81991181657848,1,0,69479.0,1,0,0,0,0.7929581529581533,0.0,-4283.415422723803
2022-05-27,47.81084656084656,23.06991181657848,1,0,68965.0,1,0,0,0,1.6829048420715083,0.0,-4948.936329309849
2022-05-28,46.45440917107584,22.2671164021164,0,1,61737.0,1,0,0,0,3.0782407407407426,0.0,-13452.572918641348
2022-05-29,60.08289241622576,22.236490299823632,0,1,60954.0,1,0,0,0,3.3382848324514995,0.0,-15069.153504715632
2022-05-30,71.5079365079365,21.813333333333333,1,0,73136.0,1,0,0,0,2.4227557319223934,0.0,-3090.9677138116385
2022-05-31,29.64197530864197,25.028641975308645,1,0,69890.0,1,0,0,0,1.7244091710758376,0.0,-3613.2743975026397
2022-06-01,35.913333333333334,23.68038095238095,1,0,64810.0,0,1,0,0,3.5012857142857143,0.0,-6660.076700228663
2022-06-02,51.49904761904762,25.598666666666663,1,0,71717.0,0,1,0,0,2.4320476190476192,0.0,-3943.7244014741536
2022-06-03,41.38095238095238,29.370380952380952,1,0,72128.0,0,1,0,0,5.872095238095234,0.0,-3214.793970878927
2022-06-04,56.151428571428575,25.35552380952381,0,1,62412.0,0,1,0,0,5.0886666666666684,0.0,-11005.589687316933
2022-06-05,73.78190476190477,19.24752380952381,0,1,58600.0,0,1,0,0,2.931666666666665,0.0,-13830.50693520128
2022-06-06,61.19238095238095,19.245238095238097,0,1,61814.0,0,1,0,0,1.5815714285714257,0.0,-5526.652970651077
2022-06-07,59.079047619047614,21.359333333333336,1,0,70528.0,0,1,0,0,0.15771428571428459,0.0,-2095.2063153284535
2022-06-08,61.1847619047619,22.066857142857145,1,0,68480.0,0,1,0,0,1.890476190476189,0.0,-3319.133697787498
2022-06-09,62.38,23.49295238095238,1,0,69993.0,0,1,0,0,2.649857142857144,0.0,-1040.2194325846776
2022-06-10,65.62476190476191,23.92114285714285,1,0,71317.0,0,1,0,0,3.014095238095237,0.0,-1345.1278500616954
2022-06-11,60.180952380952384,24.309047619047615,0,1,62034.0,0,1,0,0,5.273333333333333,0.0,-10981.63379857296
2022-06-12,66.76285714285714,23.30542857142857,0,1,61303.0,0,1,0,0,4.940428571428569,0.0,-10988.947695194189
2022-06-13,53.76190476190476,25.14733333333333,1,0,71248.0,0,1,0,0,4.830571428571428,0.0,-1154.2483022804297
2022-06-14,56.97619047619048,22.406285714285712,1,0,71478.0,0,1,0,0,2.595238095238095,0.0,-877.0773350935351
2022-06-15,82.82476190476191,20.54552380952381,1,0,69305.0,0,1,0,0,0.0,0.30695238095238153,-860.1029288251939
2022-06-16,56.62095238095238,23.560380952380957,1,0,70925.0,0,1,0,0,2.680142857142858,0.0,-16.966555725314265
2022-06-17,62.10761904761905,26.546,1,0,73461.0,0,1,0,0,3.3329047619047607,0.0,223.9919404053412
2022-06-18,74.79809523809524,24.16609523809524,0,1,64277.0,0,1,0,0,5.233952380952381,0.0,-8751.28968911746
2022-06-19,79.78666666666666,23.822476190476188,0,1,64298.0,0,1,0,0,5.395333333333333,0.0,-8591.843472948569
2022-06-20,59.17142857142856,28.946000000000005,1,0,77816.0,0,1,0,0,7.03857142857143,0.0,4466.132758997408
2022-06-21,50.775238095238095,31.40352380952381,1,0,81164.0,0,1,0,0,7.937714285714286,0.0,5914.166835512067
2022-06-22,51.64190476190477,29.954285714285717,1,0,80943.0,0,1,0,0,7.565285714285714,0.0,3441.991649224524
2022-06-23,93.5095238095238,24.331047619047617,1,0,83449.0,0,1,0,0,5.910285714285713,0.0,5404.846975933453
2022-06-24,78.02571428571429,24.691714285714287,1,0,76122.0,0,1,0,0,5.275428571428574,0.0,2350.447617631199
2022-06-25,72.72666666666666,27.388380952380952,0,1,69554.0,0,1,0,0,7.364142857142859,0.0,-7291.887185871501
2022-06-26,78.67523809523809,27.053047619047614,0,1,68906.0,0,1,0,0,8.092333333333336,0.0,-9176.62460175261
2022-06-27,82.80761904761906,26.90647619047619,1,0,84742.0,0,1,0,0,8.532285714285713,0.0,4163.206738238428
2022-06-28,73.8647619047619,27.880761904761904,1,0,84057.0,0,1,0,0,9.170047619047622,0.0,6099.49276535349
2022-06-29,85.00095238095238,26.55790476190476,1,0,84492.0,0,1,0,0,7.475857142857141,0.0,6291.2194067574055
2022-06-30,89.77047619047619,24.904666666666664,1,0,82731.0,0,1,0,0,5.929476190476187,0.0,5486.138856440297
2022-07-01,62.376278659611984,30.534717813051145,1,0,83309.0,0,1,0,0,8.922773368606702,0.0,3352.0759312398977
2022-07-02,63.97301587301588,30.02326278659612,0,1,74981.0,0,1,0,0,9.460238095238097,0.0,-4736.075489480457
2022-07-03,68.0189594356261,28.726261022927687,0,1,74468.0,0,1,0,0,10.010498236331571,0.0,-4583.355930986646
2022-07-04,66.07275132275133,30.39384479717813,1,0,89337.0,0,1,0,0,9.408849206349206,0.0,8855.828980330576
2022-07-05,65.76543209876543,30.920705467372134,1,0,90855.0,0,1,0,0,9.752526455026455,0.0,9964.726165520578
2022-07-06,62.51410934744268,32.173738977072304,1,0,91938.0,0,1,0,0,10.639210758377423,0.0,10073.891501204951
2022-07-07,70.54082892416226,30.294982363315697,1,0,92990.0,0,1,0,0,10.657491181657846,0.0,11656.754608846046
2022-07-08,72.41216931216931,28.73414462081129,1,0,86475.0,0,1,0,0,8.519678130511465,0.0,6906.440461820555
2022-07-09,72.36684303350971,28.26951499118166,0,1,75216.0,0,1,0,0,8.547843915343918,0.0,-2976.029316633776
2022-07-10,69.5132275132275,29.148377425044096,0,1,75168.0,0,1,0,0,9.919925044091713,0.0,-4479.175488069794
2022-07-11,75.34241622574956,28.1060758377425,1,0,86943.0,0,1,0,0,8.018245149911817,0.0,7573.943777691216
2022-07-12,72.67169312169312,28.383915343915344,1,0,87250.0,0,1,0,0,8.067905643738975,0.0,8785.463338965
2022-07-13,88.61287477954144,24.861975308641977,1,0,85034.0,0,1,0,0,6.7932671957672,0.0,8021.685945764699
2022-07-14,71.3447971781305,28.456287477954145,1,0,85530.0,0,1,0,0,8.2272266313933,0.0,7468.005627968456
